English,Romanian
If No Answer:,Dacă nu există răspuns:
Pay Now,Plătește acum
Pay with Account,Plătiți cu contul
Please wait,Te rog asteapta
Coupon Number:,Număr cupon:
Add Voucher,Adăugați voucher
Selected Plan,Planul selectat
My Product,Produsul meu
Parent Product,Produs părinte
Edit Email Template,Editați șablonul de e-mail
Details,Detalii
KEY,CHEIE
Value,VALOARE
Records with duplicate account number and email will be ignored.,Înregistrările cu număr de cont duplicat și e-mail vor fi ignorate.
Account Details,Detalii cont
Mass Customer,Client de masă
Daily,Zilnic
Monthly,Lunar
Prepaid,Preplătit
Postpaid,Postplătit
Force Caller ID,Forțează ID-ul apelantului
Customer Profile,Profilul cumpărătorului
Caller Id Name,Numele ID-ului apelantului
Caller Id Number,Număr de identificare a apelantului
Blocked Codes,Coduri blocate
Page will display only receipts and confirmed invoices.,Pagina va afișa numai chitanțe și facturi confirmate.
Accessnumber Updated Successfully!,Număr de acces actualizat cu succes!
Accessnumber Removed Successfully!,Numărul de acces a fost eliminat cu succes!
Invalid file format : Only CSV file allows to import records(Can't import empty file),Format de fișier nevalid: numai fișierul CSV permite importul de înregistrări (nu se poate importa fișierul gol)
Please Select File.,Vă rugăm să selectați fișier.
 are required, sunt necesare
 is Required, este necesară
 is not Valid, nu e valid
Duplicate accessnumber found from database,Număr de acces duplicat găsit din baza de date
Duplicate accessnumber found from import file.,Număr de acces duplicat găsit din fișierul de import.
Total,Total
AccessNumber Imported Successfully!,Numărul de acces a fost importat cu succes!
Records Not Imported:,Înregistrări neimportate:
Back to AccessNumber List,Înapoi la lista AccessNumber
Speed Dial Number Updated Successfully,Numărul de apelare rapidă a fost actualizat cu succes
Please insert only numeric value!,Vă rugăm să introduceți numai valoare numerică!
Speed Dial Number Removed Successfully,Numărul de apelare rapidă a fost eliminat cu succes
Speed Dial Number is Empty,Numărul de apelare rapidă este gol
Sip Device removed successfully!,Dispozitivul SIP a fost eliminat cu succes!
Sip updated successfully!,SIP actualizat cu succes!
Block Code Removed Sucessfully!,Codul de blocare a fost eliminat cu succes!
Your Account Limit has been reached.Please Change Your Prefix.,Limita contului dvs. a fost atinsă. Vă rugăm să schimbați prefixul.
Please Enter Proper Account Length.,Vă rugăm să introduceți lungimea corectă a contului.
Bulk customer generate successfully!,Clientul în vrac generează cu succes!
Recharge successfully!,Reîncărcați cu succes!
Post charge applied successfully.,Postarea a fost aplicată cu succes.
Account callerID updated successfully!,ID apelant cont actualizat cu succes!
Account callerID added successfully!,ID-ul apelantului contului a fost adăugat cu succes!
Reseller updated successfully!,Resellerul a fost actualizat cu succes!
Reseller added successfully!,Revânzătorul a fost adăugat cu succes!
Updated successfully!,Actualizat cu succes!
Added Successfully!,Adăugat cu succes!
Customer batch updated successfully!,Lotul de clienți a fost actualizat cu succes!
Reseller batch updated successfully!,Lotul revânzătorului a fost actualizat cu succes!
Customer Removed Successfully!,Clientul a fost eliminat cu succes!
Reseller Removed Successfully!,Revânzătorul a fost eliminat cu succes!
Provider Removed Successfully!,Furnizorul a fost eliminat cu succes!
Admin Removed Successfully!,Administratorul a fost eliminat cu succes!
Sub Admin Removed Successfully!,Administratorul secundar a fost eliminat cu succes!
DID Added Successfully.,A fost adăugat cu succes.
DID Already Removed Before.,A FOST deja eliminat înainte.
Account Tax Added Successfully!,Taxă de cont adăugată cu succes!
Account Tax Removed Successfully!,Impozitul pe cont a fost eliminat cu succes!
Product Removed Sucessfully.,Produsul a fost eliminat cu succes.
Email Resend Successfully!,E-mail Retrimiteți cu succes!
Email List Updated Successfully!,Lista de e-mail a fost actualizată cu succes!
Email List Added Successfully!,Lista de e-mailuri a fost adăugată cu succes!
Email Removed Successfully!,E-mailul a fost eliminat cu succes!
Please Try Again!,Vă rugăm să încercați din nou!
Email BroadCast Successfully!,Trimiteți prin e-mail BroadCast cu succes!
No Record Found!,Nicio inregistrare gasita!
Email Address Not Found!,Adresa de e-mail nu a fost găsită!
Edit Freeswitch SIP Devices,Editați dispozitivele SIP Freeswitch
Create Freeswitch SIP Devices,Creați dispozitive SIP Freeswitch
Gateway Updated Successfully!,Gateway actualizat cu succes!
Gateways already exist in system.,Gateway-urile există deja în sistem.
Gateway name must not have any space.,Numele gateway-ului nu trebuie să aibă spațiu.
Gateway Added Successfully!,Gateway adăugat cu succes!
Gateway Removed Successfully!,Gateway eliminat cu succes!
Please enter All profile value!,Vă rugăm să introduceți toată valoarea profilului!
SIP Profile name must not have any space!,Numele profilului SIP nu trebuie să aibă spațiu!
Duplicate SIP IP OR Port found it must be unique!,Duplicat SIP IP SAU portul a constatat că trebuie să fie unic!
SIP Profile Added Successfully!,Profil SIP adăugat cu succes!
Name must be unique!,Numele trebuie să fie unic!
SIP Profile Updated Successfully!,Profilul SIP a fost actualizat cu succes!
SIP Setting Added Successfully!,Setarea SIP a fost adăugată cu succes!
SIP Setting Updated Successfully!,Setarea SIP a fost actualizată cu succes!
SIP Setting Removed Successfully!,Setarea SIP a fost eliminată cu succes!
SIP Profile Removed Successfully!,Profilul SIP a fost eliminat cu succes!
Host Already Exist in System.,Gazda există deja în sistem.
Freeswitch Server Updated Successfully!,Serverul Freeswitch a fost actualizat cu succes!
Freeswitch Server Added Successfully!,Server Freeswitch adăugat cu succes!
Freeswitch Server Removed Successfully!,Serverul Freeswitch a fost eliminat cu succes!
Invoice updated successfully!,Factura actualizată cu succes!
Invoice payment done successfully!,Plata facturilor a fost efectuată cu succes!
Account Not Found.,Contul nu a fost găsit.
Invoice payment amount should be higher then the invoice amount.,Valoarea plății facturii ar trebui să fie mai mare decât valoarea facturii.
The Favicon file size shoud not exceed 1MB!,Dimensiunea fișierului Favicon nu trebuie să depășească 1 MB!
Please upload 250 * 60 size file,Vă rugăm să încărcați fișierul cu dimensiunea de 250 * 60
Logo only allows file types of JPG and JPEG.,Logo-ul permite doar tipuri de fișiere JPG și JPEG.
Favicon only allows file types of ICO,Favicon permite doar tipuri de fișiere de ICO
Please upload 16 * 16 size of favicon.,Vă rugăm să încărcați dimensiunea 16 * 16 a faviconului.
Company profile updated sucessfully!,Profilul companiei a fost actualizat cu succes!
Company profile added sucessfully!,Profilul companiei a fost adăugat cu succes!
Permission Denied.,Acces refuzat.
is Deleted Sucessfully!,este șters cu succes!
To date should not be greater than current date.,Până în prezent nu ar trebui să fie mai mare decât data curentă.
Invoice generation completed.,Generarea facturilor finalizată.
No data found,Nu s-au gasit date
Invoices removed successfully,Facturile au fost eliminate
The Prefix field must contain a unique value.,Câmpul Prefix trebuie să conțină o valoare unică.
The IP field must contain a unique value.,Câmpul IP trebuie să conțină o valoare unică.
IP Map added successfully!,Harta IP a fost adăugată cu succes!
IP Map removed successfully!,Harta IP a fost eliminată cu succes!
Localization Added Successfully!,Localizare adăugată cu succes!
Localization Updated Successfully!,Localizarea a fost actualizată cu succes!
Localization Removed Successfully!,Localizarea a fost eliminată cu succes!
Globalization is already exist in this system,Globalizarea există deja în acest sistem
Dispatcher Updated Successfully!,Dispecerul a fost actualizat cu succes!
Dispatcher Added Successfully!,Dispeceratul a fost adăugat cu succes!
Dispatcher Removed Successfully!,Dispeceratul a fost eliminat cu succes!
Code is already in system,Codul este deja în sistem
Country is already in system,Țara este deja în sistem
Ratedeck updated successfully!,Ratedeck a fost actualizat cu succes!
Ratedeck added successfully!,Ratedeck a fost adăugat cu succes!
Ratedeck removed successfully!,Ratedeck a fost eliminat cu succes!
Duplicate Ratedeck Number found from import file.,Duplicate Ratedeck Număr găsit din fișierul de import.
Ratedeck Imported Successfully!,Ratedeck a fost importat cu succes!
Ratedeck Import Error,Eroare de import Ratedeck
Back to Ratedeck List,Înapoi la lista Ratedeck
Origination Rate Imported Successfully!,Rata de inițiere a fost importată cu succes!
Origination Rate Updated Successfully!,Rata de inițiere actualizată cu succes!
Origination Rate Added Successfully!,Rata de inițiere a fost adăugată cu succes!
Termination Rates Batch Updated Successfully!,Tarifele de reziliere Lotul a fost actualizat cu succes!
Map CSV to Termination Rates,Harta CSV la tarifele de reziliere
Data Example,Exemplu de date
Map to Field,Hartă către câmp
PREFIX/DEFAULT VALUE,PREFIX / VALOARE DEFAULT
ASTPP Field,Câmpul ASTPP
Created,Creată
Modified,Modificat
You can not create,Nu puteți crea
Refill coupon with,Reumpleți cuponul cu
You can create maximum,Puteți crea maxim
Refill coupon created successfully!,Cuponul de reumplere a fost creat cu succes!
Currency Added Successfully!,Moneda adăugată cu succes!
Currency Removed Successfully!,Moneda eliminată cu succes!
Backup Exported Successfully!,Backupul a fost exportat cu succes!
An error occur when the system tried to backup of the database. Please check yours system settings for the backup section,O eroare apare atunci când sistemul a încercat să facă backup pentru baza de date. Vă rugăm să verificați setările dvs. de sistem pentru secțiunea de copiere de rezervă
Database Restore successfully.,Restaurarea bazei de date cu succes.
File not exists!,Fișierul nu există!
There is a some issue or invalid file format.,Există o problemă sau un format de fișier nevalid.
Database backup deleted successfully.,Copia de siguranță a bazei de date a fost ștearsă cu succes.
Languages updated successfully!,Limbile actualizate cu succes!
Languages removed successfully!,Limbile au fost eliminate cu succes!
Languages added successfully!,Limbile adăugate cu succes!
Translation updated successfully!,Traducerea a fost actualizată cu succes!
Translation added successfully!,Traducerea a fost adăugată cu succes!
Update Languages,Actualizați limbile
Speed Dial,Apelare rapida
Payment,Plată
Method,Metodă
Once you confirm the invoice,Odată confirmată factura
Payment Gateway Permission,Permis de gateway de plată
Zip Code,Cod postal
Yes,da
Back,Înapoi
Edit Reseller,Editați distribuitorul
Asignar DID a granel,Asignar a făcut un granel
DIDs Search,Căutare DID
By Month,Pe lună
Create Gateway,Creați Gateway
Calling Card Language,Limba cardului de apel
Last,Ultimul
Pay Date,Data plății
Purchase DID,Cumpărați DID
Caller-ID-A-Form,ID-apelant-A-Form
Expire Seconds,Expiră secunde
Termination Date,Data încetării
Registration Date,Data Înregistrării
Payment By,Plată de către
Product Status,Starea produsului
Minute,Minut
Hour,Ora
Day,Zi
Month,Lună
Year,An
List,Listă
Edit,Editați | ×
Not Avaialable any Subscription.,Nu este disponibil niciun abonament.
Not Avaialable any Package for this Country.,Nu este disponibil niciun pachet pentru această țară.
You can only transfer fund in same level account.,Puteți transfera fonduri numai în contul de același nivel.
You can not transfer fund in same account.,Nu puteți transfera fond în același cont.
Monthly Fee,Taxă lunară
Bulk DID Assign,Alocați DID în bloc
Invoice Start From,Factură Începeți de la
Edit Gateway,Editați Gateway
Number Of Default Rows,Numărul de rânduri implicite
Mobile Dialer,Dialer mobil
Trunk Count,Numărul de trunchiuri
Welcome File,Fișier de bun venit
Local Call Timeout (Sec.),Expirarea apelurilor locale (sec.)
Rate check for DID,Verificarea ratei pentru DID
DID Localization,Localizare DID
Voicemail Number,Număr de mesagerie vocală
OTP Expire Time(min),Timp de expirare OTP (min)
Edit Provider,Editați furnizorul
Product Summary Reports,Rapoarte rezumative ale produsului
Edit Origination Rate,Editați rata de inițiere
Dialplan Variable,Dialplan Variable
Uninstall,Dezinstalați
Call Stat,Stat de apel
Failed Calls,Apeluri nereușite
Top 10 Countries,Top 10 țări
By Minutes,Prin minute
By Calls,Prin apeluri
Telephone number is only numeric,Numărul de telefon este doar numeric
Please enter valid Captcha code,Vă rugăm să introduceți cod Captcha valid
Please contact to administrator,Vă rugăm să contactați administratorul
Requested email is already exist,E-mailul solicitat există deja
Requested number is already exist,Numărul solicitat există deja
Please enter correct words!,Vă rugăm să introduceți cuvinte corecte!
THIS IS REQUIRED!,ESTE NECESAR!
Your account has been deleted. Please contact administrator for more information.,Contul dvs. a fost șters. Vă rugăm să contactați administratorul pentru mai multe informații.
Your account is inactive. Please contact administrator for more information.,Contul dvs. este inactiv. Vă rugăm să contactați administratorul pentru mai multe informații.
Please enter proper Email.,Vă rugăm să introduceți un e-mail adecvat.
Please enter proper Username.,Vă rugăm să introduceți numele de utilizator corect.
This Username or Email is not valid.,Acest nume de utilizator sau e-mail nu este valid.
ASTPP - A Smart TelePhony Platform,ASTPP - O platformă inteligentă TelePhony
Forgot Password,Ați uitat parola
ASTPP work best with JavaScript enabled,ASTPP funcționează cel mai bine cu JavaScript activat
Enter Your Password,Introduceți parola
Confirm Password,Confirmă parola
The Email field is Required,Câmpul E-mail este obligatoriu
The Account Number field is Required,Câmpul Număr cont este Obligatoriu
Set Default Language,Setați limba implicită
Please Re-login to get Impact of selected language.,Vă rugăm să vă conectați din nou pentru a obține impactul limbii selectate.
Default Language,Limba implicita
Signup now!,Inscrie-te acum!
Forgot Password?,Ați uitat parola?
Sign in,conectare
Username OR Email,Nume de utilizator sau email
Username is Required,Numele de utilizator este necesar
Password is Required,Parola este necesara
Please Check Your account is deleted or inactive from admin side,Vă rugăm să verificați Contul dvs. este șters sau inactiv din partea administratorului
Please do not use default or less secure password for your account!! You must change password from,Vă rugăm să nu utilizați parola implicită sau mai puțin sigură pentru contul dvs. !! Trebuie să schimbați parola din
HERE,AICI
Login unsuccessful. Please make sure you entered the correct username and password,Conectarea nu a reușit. Vă rugăm să vă asigurați că ați introdus numele de utilizator și parola corecte
Please enter Username/email and Password.,Vă rugăm să introduceți numele de utilizator / adresa de e-mail și parola.
Payment transaction invalid. Please contact Administrator.,Tranzacția de plată este nevalidă. Vă rugăm să contactați administratorul.
Log In,Autentificare
Please Enter Password,Te rog introdu parola
Password must be at least 8 characters and must contain at least one lower case letter,Parola trebuie să aibă cel puțin 8 caractere și trebuie să conțină cel puțin o literă minusculă
Please Enter Confirm Password,Vă rugăm să introduceți Confirmați parola
Confirm Password is not match,Confirmați parola nu este potrivită
We sent update password link.,Am trimis un link de actualizare a parolei.
Please check your Email!,Vă rugăm să verificați email-ul!
Login,Autentificare
OTP Verification,Verificare OTP
OTP Number is Required,Numărul OTP este obligatoriu
Your account created successfully and account details sent to your registered email address,Contul dvs. a fost creat cu succes și detaliile contului au fost trimise la adresa dvs. de e-mail înregistrată
Your password change successfully and new password sent to your registered email address,Parola dvs. s-a schimbat cu succes și noua parolă a fost trimisă la adresa dvs. de e-mail înregistrată
OTP Number is Wrong Please try again Or OTP expire Please Resend,Numărul OTP este greșit Vă rugăm să încercați din nou sau OTP expiră Vă rugăm să retrimiteți
OTP has been sent on your email or Telephone number,OTP a fost trimis pe e-mail sau pe numărul dvs. de telefon
OTP,OTP
Resend OTP,Retrimiteți OTP
OTP Sent time Out,OTP expirat
Not Get OTP ?,Nu primiți OTP?
Note:,Notă:
Please make sure do not refresh the page or don't go back,Vă rugăm să vă asigurați că nu reîmprospătați pagina sau nu reveniți înapoi
Login unsuccessful. Please make sure you entered the correct username and password,Conectarea nu a reușit. Vă rugăm să vă asigurați că ați introdus numele de utilizator și parola corecte
Your account has been created successfully!,Contul dvs. a fost creat cu succes!
Here is your login information,Iată informațiile dvs. de conectare
Link is Expire Please Try Again,Linkul expiră Vă rugăm să încercați din nou
Sorry,Îmi pare rău
Please contact administrator for more information,Vă rugăm să contactați administratorul pentru mai multe informații
Successful!,De succes!
Captcha is required,Captcha este obligatoriu
First Name is Required,Prenumele este obligatoriu
Telephone is Required,Este necesar un telefon
Email is Required,E-mailul este obligatoriu
Please enter a valid email address,te rog introdu o adresa de email valida
Please make sure you entered the correct username and password,Vă rugăm să vă asigurați că ați introdus numele de utilizator și parola corecte
Company Name,Numele Companiei
Enter above Captcha,Introduceți deasupra Captcha
Sign up,Inscrie-te
Already Registered !,Deja înregistrat !
January,ianuarie
February,februarie
March,Martie
April,Aprilie
May,Mai
June,iunie
July,iulie
August,August
September,Septembrie
October,octombrie
November,noiembrie
December,decembrie
Doesn't Contain,Nu conține
Greater Than,Mai mare ca
Less Than,Mai puțin decât
Greater Or Equal Than,Mai mare sau egal decât
Less Or Equal Than,Mai puțin sau egal decât
Set To,Setat la
Increase By,Crestere cu
Decrease By,Scade cu
Community,Comunitate
You must either select a field from your file OR provide a default value for the following fields:,Trebuie fie să selectați un câmp din fișierul dvs. SAU să furnizați o valoare implicită pentru următoarele câmpuri:
Note : Records with duplicate account number and email will be ignored.,Notă: înregistrările cu număr de cont duplicat și e-mail vor fi ignorate.
Map CSV to Customers,Asociați CSV clienților
Account Information,informatii despre cont
Select Account,Selectați Cont
DEFAULT VALUE,VALOARE IMPLICITĂ
SIP Username,Nume utilizator SIP
sip_username,sip_username
SIP Password,Parolă SIP
Same as Password,La fel ca parola
Same as Account Number,La fel ca numărul contului
Random,Aleatoriu
Import File Data.,Importați date de fișiere.
Process Records,Înregistrări de proces
Note : Duplicate accounts with account number / email are ignored.,Notă: conturile duplicate cu numărul de cont / e-mail sunt ignorate.
Remove,Elimina
Number of Account,Numărul de cont
Account Number Length,Lungimea numărului de cont
DID (CLI Match,DID (CLI Match
Caller Id (CLI Match,ID apelant (potrivire CLI
Use NON-CLI Rate Group (If CLI not match with DID),Utilizați grupul de rată NON-CLI (dacă CLI nu se potrivește cu DID)
Use NON-CLI Rate Group (If CLI not match with Caller ID),Utilizați grupul de tarifare NON-CLI (dacă CLI nu se potrivește cu ID-ul apelantului)
Use NON-CLI Rate Group (If CLI not match with DID & Caller id),Utilizați grupul de tarifare NON-CLI (dacă CLI nu se potrivește cu ID-ul DID și apelant)
Reject Call (If CLI not match with DID),Respingere apel (Dacă CLI nu se potrivește cu DID)
Reject Call (If CLI not match with Caller ID),Respingeți apelul (dacă CLI nu se potrivește cu ID-ul apelantului)
Reject Call (If CLI not match with DID & Caller id),Respingere apel (dacă CLI nu se potrivește cu ID-ul DID și apelant)
--Select--,--Selectați--
Test Mail,Test Mail
Reset Password,Reseteaza parola
AFGHANISTAN,AFGANISTAN
ALBANIA,ALBANIA
ALGERIA,ALGERIA
AMERICAN SAMOA,SAMOA AMERICANĂ
ANDORRA,ANDORRA
ANGOLA,ANGOLA
ANGUILLA,ANGUILLA
ANTIGUA & BARBUDA,ANTIGUA & BARBUDA
ARGENTINA,ARGENTINA
ARMENIA,ARMENIA
ARUBA,ARUBA
AUSTRALIA,AUSTRALIA
AUSTRIA,AUSTRIA
AZERBAIJAN,AZERBAIJAN
BAHAMAS,BAHAMAS
BAHRAIN,BAHRAIN
BANGLADESH,BANGLADESH
BARBADOS,BARBADOS
BELARUS,BIELORUSIA
BELGIUM,BELGIA
BELIZE,BELIZE
BENIN,BENIN
BERMUDA,BERMUDA
BHUTAN,BHUTAN
BOLIVIA,BOLIVIA
BOSNIA AND HERZEGOVINA,BOSNIA SI HERTEGOVINA
BOTSWANA,BOTSWANA
BRAZIL,BRAZILIA
BRITISH VIRGIN ISLANDS,INSULELE VIRGINE BRITANICE
BRUNEI,BRUNEI
BULGARIA,BULGARIA
BURKINA FASO,BURKINA FASO
BURUNDI,BURUNDI
CAMBODIA,CAMBODIA
CAMEROON,CAMERUN
CANADA,CANADA
CAPE VERDE,CAPUL VERDE
CAYMAN ISLANDS,INSULELE CAYMAN
CENTRAL AFRICAN REPUBLIC,REPUBLICA CENTRAL AFRICANĂ
CHAD,CIAD
CHILE,CHILE
CHINA,CHINA
COLOMBIA,COLUMBIA
COMOROS,COMORE
CONGO,CONGO
COSTA RICA,COSTA RICA
CROATIA,CROAŢIA
CUBA,CUBA
CYPRUS,CIPRU
CZECH REPUBLIC,REPUBLICA CEHĂ
DEMOCRATIC REPUBLIC,REPUBLICĂ DEMOCRATĂ
DENMARK,DANEMARCA
DJIBOUTI,DJIBOUTI
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,REPUBLICA DOMINICANA
ECUADOR,ECUADOR
EGYPT,EGIPT
EL SALVADOR,EL SALVADOR
EQUATORIAL GUINEA,GUINEEA ECUATORIALĂ
ERITREA,ERITREA
ERITREA,ERITREA
ETHIOPIA,ETIOPIA
FAEROE ISLANDS,INSULE FAEROE
FIJI ISLANDS,INSULE FIJI
FINLAND,FINLANDA
FRANCE,FRANŢA
FRENCH GUIANA,GUIANA FRANȚEZĂ
FRENCH POLYNESIA,POLINEZIA FRANCEZĂ
GABON,GABON
GAMBIA,GAMBIA
GEORGIA,GEORGIA
GERMANY,GERMANIA
GHANA,GHANA
GIBRALTAR,GIBRALTAR
GREECE,GRECIA
GRENADA,GRENADA
GUADELOUPE,GUADELOUPE
GUAM,GUAM
GUATEMALA,GUATEMALA
GUINEA,GUINEEA
GUINEA BISSAU,GUINEA BISSAU
GUYANA,GUYANA
HAITI,HAITI
HONDURAS,HONDURAS
HONG KONG,HONG KONG
HUNGARY,UNGARIA
ICELAND,ISLANDA
INDIA,INDIA
INDONESIA,INDONEZIA
IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRLANDA
ISRAEL,ISRAEL
ITALY,ITALIA
IVORY COAST,COASTA DE FILDES
JAMAICA,JAMAICA
JAPAN,JAPONIA
JORDAN,IORDANIA
KAZAKHSTAN,KAZAKHSTAN
KENYA,KENYA
KOSOVO,KOSOVO
KUWAIT,KUWEIT
KYRGYZSTAN,KIRGIZAN
LAOS,LAOS
LATVIA,LETONIA
LEBANON,LIBAN
LESOTHO,LESOTHO
LIBERIA,LIBERIA
LIBYA,LIBIA
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,LITUANIA
LUXEMBOURG,LUXEMBURG
MACAU,MACAU
MACEDONIA,MACEDONIA
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALAEZIA
MALI,MALI
MALTA,MALTA
MARSHALL ISLANDS,INSULELE MARSHALL
MARTINIQUE,MARTINIQUE
MAURITANIA,MAURITANIA
MAURITIUS,MAURITIUS
MEXICO,MEXIC
MICRONESIA,MICRONESIA
MOLDOVA,MOLDOVA
MONACO,MONACO
MONGOLIA,MONGOLIA
MONTENEGRO,MONTENEGRO
MONTSERRAT,MONTSERRAT
MOROCCO,MAROC
MOZAMBIQUE,MOZAMBIQUE
MYANMAR,MYANMAR
NAMIBIA,NAMIBIA
NEPAL,NEPAL
NETHERLANDS,OLANDA
NEW CALEDONIA,NOUA CALEDONIE
NEW ZEALAND,NOUA ZEELANDA
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NO. MARIANA ISLANDS,NU. Insulele MARIANA
NORTH KOREA,COREEA DE NORD
NORWAY,NORVEGIA
OMAN,OMAN
PAKISTAN,PAKISTAN
PALAU,PALAU
PANAMA,PANAMA
PARAGUAY,PARAGUAY
PERU,PERU
PHILIPPINES,FILIPINE
POLAND,POLONIA
PORTUGAL,PORTUGALIA
PUERTO RICO,PUERTO RICO
QATAR,QATAR
REUNION ISLAND,REUNION ISLAND
ROMANIA,ROMÂNIA
RUSSIAN FEDERATION,FEDERAȚIA RUSĂ
RWANDA,RWANDA
SAN MARINO,SAN MARINO
SAUDI ARABIA,ARABIA SAUDITĂ
SENEGAL,SENEGAL
SERBIA,SERBIA
SEYCHELLES ISLANDS,Insulele SEYCHELLES
SIERRA LEONE,SIERRA LEONE
SINGAPORE,SINGAPORE
SLOVAKIA,SLOVACIA
SLOVENIA,SLOVENIA
SOMALIA,SOMALIA
SOUTH AFRICA,AFRICA DE SUD
SOUTH KOREA,COREEA DE SUD
SOUTH SUDAN,SUDUL SUDANULUI
SPAIN,SPANIA
SRI LANKA,SRI LANKA
ST. KITTS,SF. KITTS
ST. LUCIA,SF. LUCIA
ST. MARTIN,SF. MARTIN
ST. PIERRE & MIQUELON,SF. PIERRE & MIQUELON
ST. VINCENT,SF. VINCENT
SUDAN,SUDAN
SURINAME,SURINAME
SWAZILAND,SWAZILAND
SWEDEN,SUEDIA
SWITZERLAND,ELVEŢIA
SYRIA,SIRIA
TAIWAN,TAIWAN
TAJIKISTAN,TAJIKISTAN
TANZANIA,TANZANIA
THAILAND,TAILANDA
TRINIDAD & TOBAGO,TRINIDAD & TOBAGO
TUNISIA,TUNISIA
TURKEY,CURCAN
TURKMENISTAN,TURKMENISTAN
TURKS & CAICOS ISLANDS,INSULURILE TURCELOR ȘI CAICOS
UGANDA,UGANDA
UKRAINE,UCRAINA
UNITED ARAB EMIRATES,EMIRATELE ARABE UNITE
UNITED KINGDOM,REGATUL UNIT
URUGUAY,URUGUAY
US VIRGIN ISLANDS,INSULURILE FECIOARE SUA
United States,Statele Unite
UZBEKISTAN,UZBEKISTAN
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
YEMEN,YEMEN
ZAMBIA,ZAMBIA
ZIMBABWE,ZIMBABWE
ASCENSION,ASCENSIUNE
COOK ISLANDS,INSULELE COOK
EAST TIMOR,TIMORUL DE EST
FALKLAND ISLANDS,INSULELE FALKLAND
GREENLAND,GROENLANDA
KIRIBATI,KIRIBATI
MALDIVES,MALDIVE
NAURU,NAURU
Albanian Lek,Lek albanez
Algerian Dinar,Dinar algerian
Aluminium Ounces,Uncii de aluminiu
Argentine Peso,Peso argentinian
Aruba Florin,Aruba Florin
Australian Dollar,Dolar australian
Bahamian Dollar,Dolar Bahamian
Bahraini Dinar,Dinar Bahraini
Bangladesh Taka,Bangladesh Taka
Barbados Dollar,Dolarul Barbados
Belarus Ruble,Rubla Belarusiei
Belize Dollar,Dolarul din Belize
Bermuda Dollar,Dolarul Bermudelor
Bhutan Ngultrum,Bhutan Ngultrum
Bolivian Boliviano,Bolivian Boliviano
Brazilian Real,Real brazilian
British Pound,Lira sterlină
Brunei Dollar,Dolarul Brunei
Bulgarian Lev,Bulgară Lev
Burundi Franc,Francul Burundi
Cambodia Riel,Cambodgia Riel
Canadian Dollar,Dolarul canadian
Cayman Islands Dollar,Dolarul Insulelor Cayman
CFA Franc (BCEAO),Franc CFA (BCEAO)
CFA Franc (BEAC),Franc CFA (BEAC)
Chilean Peso,Peso chilian
Chinese Yuan,Yuan chinezesc
Colombian Peso,Peso columbian
Comoros Franc,Comore Franc
Copper Ounces,Uncii de cupru
Costa Rica Colon,Costa Rica Colon
Croatian Kuna,Kuna croată
Cuban Peso,Peso cubanez
Cyprus Pound,Lira Cipru
Czech Koruna,Coroana cehă
Danish Krone,Coroană daneză
Dijibouti Franc,Franc Dijibouti
Dominican Peso,Peso dominican
East Caribbean Dollar,Dolarul Caraibelor de Est
Ecuador Sucre,Ecuador Sucre
Egyptian Pound,Lira egipteană
El Salvador Colon,El Salvador Colon
Eritrea Nakfa,Eritrea Nakfa
Estonian Kroon,Kronă estonă
Ethiopian Birr,Etiopian Birr
Euro,Euro
Falkland Islands Pound,Lira Insulelor Falkland
Gambian Dalasi,Dalasi Gambian
Ghanian Cedi,Ghanian Cedi
Gibraltar Pound,Lira Gibraltar
Gold Ounces,Uncii de aur
Guatemala Quetzal,Quetzal Guatemala
Guinea Franc,Franc Guineea
Haiti Gourde,Haiti Gourde
Honduras Lempira,Honduras Lempira
Hong Kong Dollar,Dolar Hong Kong
Hungarian ForINT,ForINT maghiară
Iceland Krona,Coroana Islandei
Indian Rupee,Rupia indiană
Indonesian Rupiah,Rupia indoneziană
Iran Rial,Iran Rial
Israeli Shekel,Shekel israelian
Jamaican Dollar,Dolarul jamaican
Japanese Yen,Yen japonez
Jordanian Dinar,Dinar iordanian
Kazakhstan Tenge,Tenge Kazahstan
Kenyan Shilling,Shilling kenyan
Korean Won,Won coreean
Kuwaiti Dinar,Dinar kuwaitian
Lao Kip,Lao Kip
Latvian Lat,Letonă lat
Lebanese Pound,Lira libaneză
Lesotho Loti,Lesotho Loti
Libyan Dinar,Dinar libian
Lithuanian Lita,Lituana Lita
Macau Pataca,Macaca Pataca
Macedonian Denar,Denar macedonean
Malagasy Franc,Franc malgaș
Malawi Kwacha,Malawi Kwacha
Malaysian Ringgit,Ringgit din Malaezia
Maldives Rufiyaa,Maldive Rufiyaa
Maltese Lira,Lira malteză
Mauritania Ougulya,Mauritania Ougulya
Mauritius Rupee,Rupia Mauritius
Mexican Peso,Peso mexican
Moldovan Leu,Leul moldovenesc
Mongolian Tugrik,Tugrik mongol
Moroccan Dirham,Dirham marocan
Mozambique Metical,Mozambic Metical
Namibian Dollar,Dolarul namibian
