English,Spanish
If SIP Not Registered:,Si SIP no está registrado:
If No Answer:,Si no responde:
Pay Now,Pagar ahora
Pay with Account,Pagar con cuenta
Please wait,por favor espera
Coupon Number:,Número de cupón:
Add Voucher,Agregar cupón
Selected Plan,Plan seleccionado
My Product,Mi producto
Parent Product,Producto padre
Edit Email Template,Editar plantilla de correo electrónico
Details,Detalles
KEY,LLAVE
Value,VALOR
Records with duplicate account number and email will be ignored.,Se ignorarán los registros con número de cuenta y correo electrónico duplicados.
Account Details,detalles de la cuenta
Mass Customer,Cliente masivo
Daily,Diario
Monthly,Mensual
Prepaid,Pagado por adelantado
Postpaid,Pospago
Force Caller ID,Forzar identificador de llamadas
Customer Profile,Perfil de cliente
Caller Id Name,Nombre del identificador de llamadas
Caller Id Number,Número de identificación de la persona que llama
Blocked Codes,Códigos bloqueados
Page will display only receipts and confirmed invoices.,La página mostrará solo recibos y facturas confirmadas.
Accessnumber Updated Successfully!,¡Número de acceso actualizado con éxito!
Accessnumber Removed Successfully!,Número de acceso eliminado correctamente.
Invalid file format : Only CSV file allows to import records(Can't import empty file),Formato de archivo no válido: solo el archivo CSV permite importar registros (no se puede importar un archivo vacío)
Please Select File.,Seleccione Archivo.
 are required, son requeridos
 is Required, es requerido
 is not Valid, no es válido
Duplicate accessnumber found from database,Número de acceso duplicado encontrado en la base de datos
Duplicate accessnumber found from import file.,Número de acceso duplicado encontrado en el archivo de importación.
Total,Total
AccessNumber Imported Successfully!,AccessNumber importado correctamente!
Records Not Imported:,Registros no importados:
Back to AccessNumber List,Volver a la lista de AccessNumber
Speed Dial Number Updated Successfully,Número de marcación rápida actualizado correctamente
Please insert only numeric value!,¡Introduzca solo un valor numérico!
Speed Dial Number Removed Successfully,Número de marcación rápida eliminado correctamente
Speed Dial Number is Empty,El número de marcación rápida está vacío
Sip Device removed successfully!,¡Dispositivo Sip eliminado con éxito!
Sip updated successfully!,¡Sip actualizado con éxito!
Block Code Removed Sucessfully!,¡Código de bloque eliminado con éxito!
Your Account Limit has been reached.Please Change Your Prefix.,Se ha alcanzado el límite de su cuenta. Cambie su prefijo.
Please Enter Proper Account Length.,Ingrese la longitud adecuada de la cuenta.
Bulk customer generate successfully!,¡Generación masiva de clientes con éxito!
Recharge successfully!,¡Recarga con éxito!
Post charge applied successfully.,El cargo posterior se aplicó correctamente.
Account callerID updated successfully!,El identificador de llamadas de la cuenta se actualizó correctamente.
Account callerID added successfully!,El identificador de llamadas de la cuenta se agregó correctamente.
Reseller updated successfully!,Distribuidor actualizado correctamente.
Reseller added successfully!,¡Revendedor agregado correctamente!
Updated successfully!,¡Actualizado con éxito!
Added Successfully!,¡Agregado exitosamente!
Customer batch updated successfully!,¡Lote de clientes actualizado correctamente!
Reseller batch updated successfully!,¡Lote del revendedor actualizado correctamente!
Customer Removed Successfully!,¡Cliente eliminado correctamente!
Reseller Removed Successfully!,Revendedor eliminado correctamente.
Provider Removed Successfully!,¡Proveedor eliminado correctamente!
Admin Removed Successfully!,¡Administrador eliminado correctamente!
Sub Admin Removed Successfully!,¡El subadministrador se eliminó correctamente!
DID Added Successfully.,DID agregado correctamente.
DID Already Removed Before.,Ya se eliminó antes.
Account Tax Added Successfully!,¡El impuesto a la cuenta se agregó correctamente!
Account Tax Removed Successfully!,¡El impuesto de la cuenta se eliminó correctamente!
Product Removed Sucessfully.,Producto eliminado con éxito.
Email Resend Successfully!,¡Reenvío de correo electrónico con éxito!
Email List Updated Successfully!,¡Lista de correo electrónico actualizada correctamente!
Email List Added Successfully!,¡Lista de correo electrónico agregada con éxito!
Email Removed Successfully!,¡Correo electrónico eliminado correctamente!
Please Try Again!,¡Inténtalo de nuevo!
Email BroadCast Successfully!,Envíe un correo electrónico a BroadCast con éxito!
No Record Found!,¡Ningún record fue encontrado!
Email Address Not Found!,¡Dirección de correo electrónico no encontrado!
Edit Freeswitch SIP Devices,Editar dispositivos SIP Freeswitch
Create Freeswitch SIP Devices,Crear dispositivos SIP Freeswitch
Gateway Updated Successfully!,Gateway actualizado con éxito!
Gateways already exist in system.,Las puertas de enlace ya existen en system.
Gateway name must not have any space.,El nombre de la puerta de enlace no debe tener ningún espacio.
Gateway Added Successfully!,¡Gateway se agregó con éxito!
Gateway Removed Successfully!,¡Puerta de enlace eliminada con éxito!
Please enter All profile value!,Por favor ingrese Todos los valores de perfil.
SIP Profile name must not have any space!,¡El nombre del perfil SIP no debe tener ningún espacio!
Duplicate SIP IP OR Port found it must be unique!,"IP SIP duplicada o puerto encontrado, debe ser único."
SIP Profile Added Successfully!,¡Perfil SIP agregado exitosamente!
Name must be unique!,¡El nombre debe ser único!
SIP Profile Updated Successfully!,¡Perfil SIP actualizado con éxito!
SIP Setting Added Successfully!,¡La configuración SIP se agregó correctamente!
SIP Setting Updated Successfully!,¡Configuración SIP actualizada con éxito!
SIP Setting Removed Successfully!,¡Configuración SIP eliminada con éxito!
SIP Profile Removed Successfully!,¡Perfil SIP eliminado con éxito!
Host Already Exist in System.,El host ya existe en el sistema.
Freeswitch Server Updated Successfully!,¡Servidor Freeswitch actualizado con éxito!
Freeswitch Server Added Successfully!,¡Servidor Freeswitch agregado exitosamente!
Freeswitch Server Removed Successfully!,¡Servidor Freeswitch eliminado con éxito!
Invoice updated successfully!,Factura actualizada correctamente!
Invoice payment done successfully!,Pago de la factura realizado correctamente.
Account Not Found.,Cuenta no encontrada.
Invoice payment amount should be higher then the invoice amount.,El monto del pago de la factura debe ser mayor que el monto de la factura.
The Favicon file size shoud not exceed 1MB!,¡El tamaño del archivo Favicon no debe exceder 1 MB!
Please upload 250 * 60 size file,Cargue un archivo de tamaño 250 * 60
Logo only allows file types of JPG and JPEG.,El logotipo solo permite tipos de archivo JPG y JPEG.
Favicon only allows file types of ICO,Favicon solo permite tipos de archivos de ICO
Please upload 16 * 16 size of favicon.,Sube 16 * 16 tamaño de favicon.
Company profile updated sucessfully!,¡Perfil de la empresa actualizado con éxito!
Company profile added sucessfully!,¡El perfil de la empresa se agregó con éxito!
Permission Denied.,Permiso denegado.
is Deleted Sucessfully!,se elimina con éxito!
To date should not be greater than current date.,Hasta la fecha no debe ser mayor que la fecha actual.
Invoice generation completed.,Se completó la generación de facturas.
No data found,Datos no encontrados
Invoices removed successfully,Facturas eliminadas con éxito
The Prefix field must contain a unique value.,El campo Prefijo debe contener un valor único.
The IP field must contain a unique value.,El campo IP debe contener un valor único.
IP Map added successfully!,¡Mapa IP agregado exitosamente!
IP Map removed successfully!,¡Mapa IP eliminado correctamente!
Localization Added Successfully!,¡La localización se agregó correctamente!
Localization Updated Successfully!,¡Localización actualizada con éxito!
Localization Removed Successfully!,¡La localización se eliminó correctamente!
Globalization is already exist in this system,La globalización ya existe en este sistema
Dispatcher Updated Successfully!,Dispatcher actualizado con éxito!
Dispatcher Added Successfully!,Despachador agregado exitosamente!
Dispatcher Removed Successfully!,Despachador eliminado correctamente!
Code is already in system,El código ya está en el sistema
Country is already in system,El país ya está en el sistema
Ratedeck updated successfully!,¡Ratedeck actualizado correctamente!
Ratedeck added successfully!,¡Ratedeck añadido correctamente!
Ratedeck removed successfully!,¡Ratedeck eliminado correctamente!
Code,Código
Duplicate Ratedeck Number found from import file.,Número de Ratedeck duplicado encontrado en el archivo de importación.
Ratedeck Imported Successfully!,¡Ratedeck se importó correctamente!
Ratedeck Import Error,Error de importación de Ratedeck
Back to Ratedeck List,Volver a la lista Ratedeck
Origination Rate Imported Successfully!,¡Tasa de originación importada correctamente!
Origination Rate Updated Successfully!,¡Tasa de originación actualizada con éxito!
Origination Rate Added Successfully!,¡Tasa de originación agregada con éxito!
Termination Rates Batch Updated Successfully!,Lote de tarifas de terminación actualizado con éxito!
Map CSV to Termination Rates,Asignar CSV a tarifas de terminación
Data Example,Ejemplo de datos
Map to Field,Mapa al campo
PREFIX/DEFAULT VALUE,PREFIJO / VALOR POR DEFECTO
ASTPP Field,Campo ASTPP
Created,Creado
Modified,Modificado
You can not create,No puedes crear
Refill coupon with,Recarga cupón con
You can create maximum,Puedes crear el máximo
Refill coupon created successfully!,¡Cupón de recarga creado con éxito!
Currency Added Successfully!,¡Moneda agregada con éxito!
Currency Removed Successfully!,¡Moneda eliminada con éxito!
Backup Exported Successfully!,¡Copia de seguridad exportada correctamente!
An error occur when the system tried to backup of the database. Please check yours system settings for the backup section,Se produjo un error cuando el sistema intentó realizar una copia de seguridad de la base de datos. Verifique la configuración de su sistema para la sección de respaldo
Database Restore successfully.,Restaurar la base de datos correctamente.
File not exists!,¡El archivo no existe!
There is a some issue or invalid file format.,Hay un problema o un formato de archivo no válido.
Database backup deleted successfully.,La copia de seguridad de la base de datos se eliminó correctamente.
Languages updated successfully!,Idiomas actualizados con éxito!
Languages removed successfully!,¡Idiomas eliminados correctamente!
Languages added successfully!,¡Idiomas agregados con éxito!
Translation updated successfully!,¡Traducción actualizada correctamente!
Translation added successfully!,¡La traducción se agregó correctamente!
Update Languages,Actualizar idiomas
Speed Dial,De marcación rápida
Payment,Pago
Method,Método
Once you confirm the invoice,Una vez que confirme la factura
Payment Gateway Permission,Permiso de pasarela de pago
Zip Code,Código postal
Yes,si
Back,atrás
Edit Reseller,Editar distribuidor
Asignar DID a granel,Asignar HIZO un granel
DIDs Search,Búsqueda de DID
By Month,Por mes
Create Gateway,Crear puerta de enlace
Calling Card Language,Idioma de la tarjeta de llamada
Last,Último
Pay Date,Fecha de pago
Purchase DID,Compra DID
Caller-ID-A-Form,Caller-ID-A-Form
Expire Seconds,Caducar segundos
Termination Date,Fecha de conclusión
Registration Date,Fecha de Registro
Payment By,Pago por
Product Status,Estado del producto
Minute,Minuto
Hour,Hora
Day,Día
Month,Mes
Year,Año
List,Lista
Edit,Editar
Not Avaialable any Subscription.,No está disponible ninguna suscripción.
Not Avaialable any Package for this Country.,Ningún paquete disponible para este país.
You can only transfer fund in same level account.,Solo puede transferir fondos en una cuenta del mismo nivel.
You can not transfer fund in same account.,No puede transferir fondos en la misma cuenta.
Monthly Fee,Cuota mensual
Bulk DID Assign,Asignación DID masiva
Invoice Start From,Factura desde
Edit Gateway,Editar puerta de enlace
Number Of Default Rows,Número de filas predeterminadas
Mobile Dialer,Marcador móvil
Trunk Count,Número de troncos
Welcome File,Archivo de bienvenida
Local Call Timeout (Sec.),Tiempo de espera de llamada local (seg.)
Rate check for DID,Verificación de tarifas para DID
DID Localization,Localización DID
Voicemail Number,Número del Correo de voz
OTP Expire Time(min),Tiempo de expiración de OTP (min)
Edit Provider,Editar proveedor
Product Summary Reports,Informes de resumen de productos
Edit Origination Rate,Editar tasa de originación
Dialplan Variable,Variable del plan de marcado
Uninstall,Desinstalar
Call Stat,Estadísticas de llamadas
Failed Calls,Llamadas fallidas
Top 10 Countries,10 países principales
By Minutes,Por Minutos
By Calls,Por llamadas
Telephone number is only numeric,El número de teléfono es solo numérico
Please enter valid Captcha code,Ingrese un código Captcha válido
Please contact to administrator,Póngase en contacto con el administrador
Requested email is already exist,El correo electrónico solicitado ya existe
Requested number is already exist,El número solicitado ya existe
Please enter correct words!,Introduzca las palabras correctas.
THIS IS REQUIRED!,¡ESTO ES REQUERIDO!
Your account has been deleted. Please contact administrator for more information.,Tu cuenta ha sido eliminada. Comuníquese con el administrador para obtener más información.
Your account is inactive. Please contact administrator for more information.,Tu cuenta está inactiva. Comuníquese con el administrador para obtener más información.
Please enter proper Email.,Ingrese el correo electrónico adecuado.
Please enter proper Username.,Ingrese el nombre de usuario adecuado.
This Username or Email is not valid.,Este nombre de usuario o correo electrónico no es válido.
ASTPP - A Smart TelePhony Platform,ASTPP: una plataforma de telefonía inteligente
Forgot Password,Se te olvidó tu contraseña
ASTPP work best with JavaScript enabled,ASTPP funciona mejor con JavaScript habilitado
Enter Your Password,Ingresa tu contraseña
Confirm Password,Confirmar contraseña
The Email field is Required,El campo de correo electrónico es obligatorio
The Account Number field is Required,El campo Número de cuenta es obligatorio
Set Default Language,Establecer idioma predeterminado
Please Re-login to get Impact of selected language.,Vuelva a iniciar sesión para obtener el impacto del idioma seleccionado.
Default Language,Idioma predeterminado
Signup now!,¡Regístrate ahora!
Forgot Password?,¿Se te olvidó tu contraseña?
Sign in,Registrarse
Username OR Email,Nombre de usuario o correo electrónico
Username is Required,Se requiere nombre de usuario
Password is Required,Se requiere contraseña
Please Check Your account is deleted or inactive from admin side,Verifique que su cuenta esté eliminada o inactiva desde el lado del administrador
Please do not use default or less secure password for your account!! You must change password from,¡No utilice una contraseña predeterminada o menos segura para su cuenta! Debe cambiar la contraseña de
HERE,AQUÍ
Login unsuccessful. Please make sure you entered the correct username and password,Inicio de sesión fallido. Asegúrese de haber ingresado el nombre de usuario y la contraseña correctos.
Please enter Username/email and Password.,Introduzca nombre de usuario / correo electrónico y contraseña.
Payment transaction invalid. Please contact Administrator.,Transacción de pago no válida. Comuníquese con el administrador.
Log In,Iniciar sesión
Please Enter Password,"Por favor, ingrese contraseña"
Password must be at least 8 characters and must contain at least one lower case letter,La contraseña debe tener al menos 8 caracteres y debe contener al menos una letra minúscula
Please Enter Confirm Password,Por favor ingrese Confirmar contraseña
Confirm Password is not match,Confirmar que la contraseña no coincide
We sent update password link.,Enviamos un enlace para actualizar la contraseña.
Please check your Email!,¡Por favor revise su correo electrónico!
Login,Iniciar sesión
OTP Verification,Verificación OTP
OTP Number is Required,Se requiere el número de OTP
Your account created successfully and account details sent to your registered email address,Su cuenta se creó correctamente y los detalles de la cuenta se enviaron a su dirección de correo electrónico registrada
Your password change successfully and new password sent to your registered email address,Su contraseña cambió correctamente y se envió una nueva contraseña a su dirección de correo electrónico registrada
OTP Number is Wrong Please try again Or OTP expire Please Resend,"El número de OTP es incorrecto. Vuelva a intentarlo. O bien, OTP expira."
OTP has been sent on your email or Telephone number,OTP se ha enviado a su correo electrónico o número de teléfono
OTP,OTP
Resend OTP,Reenviar OTP
OTP Sent time Out,Tiempo de espera de envío de OTP
Not Get OTP ?,¿No obtienes OTP?
Note:,Nota:
Please make sure do not refresh the page or don't go back,Asegúrese de no actualizar la página o no retroceder
Login unsuccessful. Please make sure you entered the correct username and password,Inicio de sesión fallido. Asegúrese de haber ingresado el nombre de usuario y la contraseña correctos.
Your account has been created successfully!,¡Su cuenta ha sido creada con éxito!
Here is your login information,Aquí está su información de inicio de sesión
Link is Expire Please Try Again,Vínculo caducado Inténtelo de nuevo
Sorry,Lo siento
Please contact administrator for more information,Comuníquese con el administrador para obtener más información.
Successful!,¡Exitoso!
Captcha is required,Se requiere captcha
First Name is Required,Se requiere el primer nombre
Telephone is Required,Se requiere teléfono
Email is Required,Correo electronico es requerido
Please enter a valid email address,"Por favor, introduce una dirección de correo electrónico válida"
Please make sure you entered the correct username and password,Asegúrese de haber ingresado el nombre de usuario y la contraseña correctos.
Company Name,nombre de empresa
Enter above Captcha,Ingrese arriba Captcha
Sign up,Regístrate
Already Registered !,Ya registrado !
January,enero
February,febrero
March,marzo
April,abril
May,Mayo
June,junio
July,julio
August,agosto
September,septiembre
October,octubre
November,noviembre
December,diciembre
Doesn't Contain,No contiene
Greater Than,Mas grande que
Less Than,Menos que
Greater Or Equal Than,Mayor o igual que
Less Or Equal Than,Menor o igual que
Set To,Ajustado a
Increase By,Aumentado por
Decrease By,Disminuir por
Community,Comunidad
You must either select a field from your file OR provide a default value for the following fields:,Debe seleccionar un campo de su archivo O proporcionar un valor predeterminado para los siguientes campos:
Note : Records with duplicate account number and email will be ignored.,Nota: Se ignorarán los registros con número de cuenta y correo electrónico duplicados.
Map CSV to Customers,Asignar CSV a clientes
Account Information,Información de la cuenta
Select Account,Seleccionar cuenta
DEFAULT VALUE,VALOR POR DEFECTO
SIP Username,Nombre de usuario SIP
sip_username,sip_username
SIP Password,Contraseña SIP
Same as Password,Igual que la contraseña
Same as Account Number,Igual que el número de cuenta
Random,Aleatorio
Import File Data.,Importar datos de archivo.
Process Records,Procesar registros
Note : Duplicate accounts with account number / email are ignored.,Nota: Se ignoran las cuentas duplicadas con número de cuenta / correo electrónico.
Remove,Eliminar
Number of Account,Número de cuenta
Account Number Length,Longitud del número de cuenta
DID (CLI Match,DID (CLI Match
Caller Id (CLI Match,Identificador de llamadas (CLI Match
Use NON-CLI Rate Group (If CLI not match with DID),Use el grupo de tarifas NON-CLI (si CLI no coincide con DID)
Use NON-CLI Rate Group (If CLI not match with Caller ID),Use el grupo de tarifas NO CLI (si CLI no coincide con el identificador de llamadas)
Use NON-CLI Rate Group (If CLI not match with DID & Caller id),Use el grupo de tarifas NON-CLI (si CLI no coincide con DID y el identificador de llamadas)
Reject Call (If CLI not match with DID),Rechazar llamada (si CLI no coincide con DID)
Reject Call (If CLI not match with Caller ID),Rechazar llamada (si CLI no coincide con el identificador de llamadas)
Reject Call (If CLI not match with DID & Caller id),Rechazar llamada (si CLI no coincide con DID y el identificador de llamadas)
--Select--,--Seleccione--
Test Mail,Correo de prueba
Reset Password,Restablecer la contraseña
AFGHANISTAN,AFGANISTÁN
ALBANIA,ALBANIA
ALGERIA,ARGELIA
AMERICAN SAMOA,SAMOA AMERICANA
ANDORRA,ANDORRA
ANGOLA,ANGOLA
ANGUILLA,ANGUILA
ANTIGUA & BARBUDA,ANTIGUA Y BARBUDA
ARGENTINA,ARGENTINA
ARMENIA,ARMENIA
ARUBA,ARUBA
AUSTRALIA,AUSTRALIA
AUSTRIA,AUSTRIA
AZERBAIJAN,AZERBAIYÁN
BAHAMAS,BAHAMAS
BAHRAIN,BAHREIN
BANGLADESH,BANGLADESH
BARBADOS,BARBADOS
BELARUS,BIELORRUSIA
BELGIUM,BÉLGICA
BELIZE,BELICE
BENIN,BENIN
BERMUDA,ISLAS BERMUDAS
BHUTAN,Bután
BOLIVIA,BOLIVIA
BOSNIA AND HERZEGOVINA,BOSNIA Y HERZEGOVINA
BOTSWANA,BOTSWANA
BRAZIL,BRASIL
BRITISH VIRGIN ISLANDS,ISLAS VIRGENES BRITANICAS
BRUNEI,BRUNEI
BULGARIA,BULGARIA
BURKINA FASO,BURKINA FASO
BURUNDI,BURUNDI
CAMBODIA,CAMBOYA
CAMEROON,CAMERÚN
CANADA,CANADÁ
CAPE VERDE,CABO VERDE
CAYMAN ISLANDS,ISLAS CAIMÁN
CENTRAL AFRICAN REPUBLIC,REPÚBLICA CENTROAFRICANA
CHAD,CHAD
CHILE,CHILE
CHINA,CHINA
COLOMBIA,COLOMBIA
COMOROS,COMOROS
CONGO,CONGO
COSTA RICA,COSTA RICA
CROATIA,CROACIA
CUBA,CUBA
CYPRUS,CHIPRE
CZECH REPUBLIC,REPUBLICA CHECA
DEMOCRATIC REPUBLIC,REPÚBLICA DEMOCRÁTICA
DENMARK,DINAMARCA
DJIBOUTI,DJIBOUTI
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,REPÚBLICA DOMINICANA
ECUADOR,ECUADOR
EGYPT,EGIPTO
EL SALVADOR,EL SALVADOR
EQUATORIAL GUINEA,GUINEA ECUATORIAL
ERITREA,ERITREA
ERITREA,ERITREA
ETHIOPIA,ETIOPÍA
FAEROE ISLANDS,ISLAS FAEROE
FIJI ISLANDS,ISLAS FIJI
FINLAND,FINLANDIA
FRANCE,FRANCIA
FRENCH GUIANA,GUAYANA FRANCESA
FRENCH POLYNESIA,POLINESIA FRANCÉS
GABON,GABÓN
GAMBIA,GAMBIA
GEORGIA,GEORGIA
GERMANY,ALEMANIA
GHANA,GHANA
GIBRALTAR,GIBRALTAR
GREECE,GRECIA
GRENADA,GRANADA
GUADELOUPE,GUADELOUPE
GUAM,GUAM
GUATEMALA,GUATEMALA
GUINEA,GUINEA
GUINEA BISSAU,GUINEA BISSAU
GUYANA,GUAYANA
HAITI,HAITÍ
HONDURAS,HONDURAS
HONG KONG,HONG KONG
HUNGARY,HUNGRÍA
ICELAND,ISLANDIA
INDIA,INDIA
INDONESIA,INDONESIA
IRAN,Irán
IRAQ,IRAK
IRELAND,IRLANDA
ISRAEL,ISRAEL
ITALY,ITALIA
IVORY COAST,COSTA DE MARFIL
JAMAICA,JAMAICA
JAPAN,JAPÓN
JORDAN,JORDÁN
KAZAKHSTAN,KAZAJSTÁN
KENYA,KENIA
KOSOVO,KOSOVO
KUWAIT,KUWAIT
KYRGYZSTAN,KIRGUISTÁN
LAOS,LAOS
LATVIA,Letonia
LEBANON,LÍBANO
LESOTHO,LESOTO
LIBERIA,LIBERIA
LIBYA,LIBIA
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,LITUANIA
LUXEMBOURG,LUXEMBURGO
MACAU,MACAO
MACEDONIA,MACEDONIA
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALASIA
MALI,Malí
MALTA,MALTA
MARSHALL ISLANDS,ISLAS MARSHALL
MARTINIQUE,MARTINICA
MAURITANIA,MAURITANIA
MAURITIUS,MAURICIO
MEXICO,MÉXICO
MICRONESIA,MICRONESIA
MOLDOVA,MOLDOVA
MONACO,MÓNACO
MONGOLIA,MONGOLIA
MONTENEGRO,MONTENEGRO
MONTSERRAT,MONTSERRAT
MOROCCO,MARRUECOS
MOZAMBIQUE,MOZAMBIQUE
MYANMAR,MYANMAR
NAMIBIA,NAMIBIA
NEPAL,NEPAL
NETHERLANDS,PAÍSES BAJOS
NEW CALEDONIA,NUEVA CALEDONIA
NEW ZEALAND,NUEVA ZELANDA
NICARAGUA,NICARAGUA
NIGER,NÍGER
NIGERIA,NIGERIA
NO. MARIANA ISLANDS,NO. ISLAS MARIANA
NORTH KOREA,COREA DEL NORTE
NORWAY,NORUEGA
OMAN,OMÁN
PAKISTAN,PAKISTÁN
PALAU,PALAU
PANAMA,PANAMÁ
PARAGUAY,PARAGUAY
PERU,PERÚ
PHILIPPINES,FILIPINAS
POLAND,POLONIA
PORTUGAL,PORTUGAL
PUERTO RICO,PUERTO RICO
QATAR,KATAR
REUNION ISLAND,ISLA REUNIÓN
ROMANIA,RUMANIA
RUSSIAN FEDERATION,FEDERACIÓN RUSA
RWANDA,RUANDA
SAN MARINO,SAN MARINO
SAUDI ARABIA,ARABIA SAUDITA
SENEGAL,SENEGAL
SERBIA,SERBIA
SEYCHELLES ISLANDS,ISLAS SEYCHELLES
SIERRA LEONE,SIERRA LEONA
SINGAPORE,SINGAPUR
SLOVAKIA,ESLOVAQUIA
SLOVENIA,ESLOVENIA
SOMALIA,SOMALIA
SOUTH AFRICA,SUDÁFRICA
SOUTH KOREA,COREA DEL SUR
SOUTH SUDAN,SUDÁN DEL SUR
SPAIN,ESPAÑA
SRI LANKA,SRI LANKA
ST. KITTS,S T. KITTS
ST. LUCIA,S T. LUCIA
ST. MARTIN,S T. MARTÍN
ST. PIERRE & MIQUELON,S T. PIERRE Y MIQUELON
ST. VINCENT,S T. VICENTE
SUDAN,SUDÁN
SURINAME,SURINAME
SWAZILAND,SUAZILANDIA
SWEDEN,SUECIA
SWITZERLAND,SUIZA
SYRIA,SIRIA
TAIWAN,Taiwán
TAJIKISTAN,TAJIKISTÁN
TANZANIA,TANZANIA
THAILAND,TAILANDIA
TRINIDAD & TOBAGO,TRINIDAD Y TOBAGO
TUNISIA,TÚNEZ
TURKEY,PAVO
TURKMENISTAN,TURKMENISTÁN
TURKS & CAICOS ISLANDS,ISLAS TURCAS Y CAICOS
UGANDA,UGANDA
UKRAINE,UCRANIA
UNITED ARAB EMIRATES,EMIRATOS ÁRABES UNIDOS
UNITED KINGDOM,REINO UNIDO
URUGUAY,URUGUAY
US VIRGIN ISLANDS,ISLAS VÍRGENES DE EE.UU
United States,Estados Unidos
UZBEKISTAN,UZBEKISTÁN
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
YEMEN,YEMEN
ZAMBIA,ZAMBIA
ZIMBABWE,ZIMBABUE
ASCENSION,ASCENSIÓN
COOK ISLANDS,ISLAS COOK
EAST TIMOR,TIMOR ORIENTAL
FALKLAND ISLANDS,ISLAS MALVINAS
GREENLAND,GROENLANDIA
KIRIBATI,Kiribati
MALDIVES,MALDIVAS
NAURU,NAURU
Albanian Lek,Lek albanés
Algerian Dinar,Dinar argelino
Aluminium Ounces,Onzas de aluminio
Argentine Peso,Peso argentino
Aruba Florin,Florín de Aruba
Australian Dollar,Dólar australiano
Bahamian Dollar,Dólar de las Bahamas
Bahraini Dinar,Dinar bahreiní
Bangladesh Taka,Bangladesh Taka
Barbados Dollar,Dólar de Barbados
Belarus Ruble,Rublo bielorruso
Belize Dollar,Dólar de Belice
Bermuda Dollar,Dólar de las Bermudas
Bhutan Ngultrum,Bután Ngultrum
Bolivian Boliviano,Boliviano de Bolivia
Brazilian Real,Real brasileño
British Pound,Libra británica
Brunei Dollar,Dólar de Brunei
Bulgarian Lev,Lev búlgaro
Burundi Franc,Franco de Burundi
Cambodia Riel,Camboya Riel
Canadian Dollar,Dolar canadiense
Cayman Islands Dollar,Dólar de las Islas Caimán
CFA Franc (BCEAO),Franco CFA (BCEAO)
CFA Franc (BEAC),Franco CFA (BEAC)
Chilean Peso,Peso chileno
Chinese Yuan,Yuan chino
Colombian Peso,Peso colombiano
Comoros Franc,Franco de las Comoras
Copper Ounces,Onzas de cobre
Costa Rica Colon,Costa Rica Colón
Croatian Kuna,Kuna croata
Cuban Peso,Peso cubano
Cyprus Pound,Libra de Chipre
Czech Koruna,Corona checa
Danish Krone,Corona danesa
Dijibouti Franc,Franco Dijibouti
Dominican Peso,Peso dominicano
East Caribbean Dollar,Dólar del Caribe Oriental
Ecuador Sucre,Ecuador Sucre
Egyptian Pound,Libra egipcia
El Salvador Colon,El Salvador Colón
Eritrea Nakfa,Eritrea Nakfa
Estonian Kroon,Corona estonia
Ethiopian Birr,Birr etíope
Euro,Euro
Falkland Islands Pound,Libra de las Islas Malvinas
Gambian Dalasi,Dalasi de Gambia
Ghanian Cedi,Ghanian Cedi
Gibraltar Pound,Libra gibraltareña
Gold Ounces,Onzas de oro
Guatemala Quetzal,Quetzal de Guatemala
Guinea Franc,Franco de Guinea
Haiti Gourde,Haití Gourde
Honduras Lempira,Honduras Lempira
Hong Kong Dollar,Dolar de Hong Kong
Hungarian ForINT,ForINT húngaro
Iceland Krona,Islandia Corona
Indian Rupee,Rupia india
Indonesian Rupiah,Rupia indonesia
Iran Rial,Irán Rial
Israeli Shekel,Shekel israelí
Jamaican Dollar,Dólar jamaicano
Japanese Yen,Yen japonés
Jordanian Dinar,Dinar jordano
Kazakhstan Tenge,Tenge de Kazajstán
Kenyan Shilling,Chelín keniano
Korean Won,Coreano ganó
Kuwaiti Dinar,Dinar kuwaití
Lao Kip,Lao Kip
Latvian Lat,Lat de Letonia
Lebanese Pound,Libra libanesa
Lesotho Loti,Loti de Lesoto
Libyan Dinar,Dinar libio
Lithuanian Lita,Lita lituana
Macau Pataca,Pataca de Macao
Macedonian Denar,Denar macedonio
Malagasy Franc,Franco malgache
Malawi Kwacha,Malawi Kwacha
Malaysian Ringgit,Ringgit malayo
Maldives Rufiyaa,Maldivas Rufiyaa
Maltese Lira,Lira maltesa
Mauritania Ougulya,Mauritania Ougulya
Mauritius Rupee,Rupia mauriciana
Mexican Peso,Peso mexicano
Moldovan Leu,Leu moldavo
Mongolian Tugrik,Tugrik mongol
Moroccan Dirham,Dirham marroquí
Mozambique Metical,Mozambique Metical
Namibian Dollar,Dólar de Namibia
Nepalese Rupee,Rupia nepalí
Neth Antilles Guilder,Florín de las Antillas Netas
New Turkish Lira,Nueva lira turca
New Zealand Dollar,Dolar de Nueva Zelanda
Nicaragua Cordoba,Nicaragua Córdoba
Nigerian Naira,Naira nigeriana
Norwegian Krone,Corona noruega
Omani Rial,Rial omaní
Pacific Franc,Franco pacífico
Pakistani Rupee,Rupia pakistaní
Palladium Ounces,Onzas de paladio
Panama Balboa,Panamá Balboa
Papua New Guinea Kina,Papua Nueva Guinea Kina
