English,Italian
Edit Email Template,Modifica modello e-mail
Details,Dettagli
KEY,CHIAVE
Value,VALORE
Records with duplicate account number and email will be ignored.,I record con numero di conto ed e-mail duplicati verranno ignorati.
Account Details,Dettagli account
Mass Customer,Cliente di massa
Daily,Quotidiano
Monthly,Mensile
Prepaid,Prepagato
Postpaid,Postpagato
Force Caller ID,Forza ID chiamante
Customer Profile,Profilo del cliente
Caller Id Name,Nome ID chiamante
Caller Id Number,Numero ID chiamante
Blocked Codes,Codici bloccati
Page will display only receipts and confirmed invoices.,La pagina mostrerà solo le ricevute e le fatture confermate.
Accessnumber Updated Successfully!,Numero di accesso aggiornato con successo!
Accessnumber Removed Successfully!,Accessnumber rimosso con successo!
Invalid file format : Only CSV file allows to import records(Can't import empty file),Formato file non valido: solo il file CSV consente di importare i record (impossibile importare file vuoti)
Please Select File.,Seleziona File.
 are required, sono necessarie
 is Required, è obbligatorio
 is not Valid, non è valido
Duplicate accessnumber found from database,Numero di accesso duplicato trovato dal database
Duplicate accessnumber found from import file.,Numero di accesso duplicato trovato dal file di importazione.
Total,Totale
AccessNumber Imported Successfully!,AccessNumber importato con successo!
Records Not Imported:,Record non importati:
Back to AccessNumber List,Torna a AccessNumber List
Speed Dial Number Updated Successfully,Numero di composizione rapida aggiornato correttamente
Please insert only numeric value!,Si prega di inserire solo un valore numerico!
Speed Dial Number Removed Successfully,Numero di composizione rapida rimosso con successo
Speed Dial Number is Empty,Il numero di selezione rapida è vuoto
Sip Device removed successfully!,Dispositivo Sip rimosso con successo!
Sip updated successfully!,Sip aggiornato con successo!
Block Code Removed Sucessfully!,Codice blocco rimosso con successo!
Your Account Limit has been reached.Please Change Your Prefix.,È stato raggiunto il limite del tuo account. Modifica il prefisso.
Please Enter Proper Account Length.,Inserisci la lunghezza dell'account corretta.
Bulk customer generate successfully!,Il cliente all'ingrosso genera con successo!
Recharge successfully!,Ricarica con successo!
Post charge applied successfully.,Post charge applicato correttamente.
Account callerID updated successfully!,ID chiamante account aggiornato correttamente!
Account callerID added successfully!,ID chiamante account aggiunto correttamente!
Reseller updated successfully!,Rivenditore aggiornato con successo!
Reseller added successfully!,Rivenditore aggiunto con successo!
Updated successfully!,Aggiornato con successo!
Added Successfully!,Aggiunto con successo!
Customer batch updated successfully!,Batch cliente aggiornato con successo!
Reseller batch updated successfully!,Batch rivenditore aggiornato con successo!
Customer Removed Successfully!,Cliente rimosso con successo!
Reseller Removed Successfully!,Rivenditore rimosso con successo!
Provider Removed Successfully!,Provider rimosso con successo!
Admin Removed Successfully!,Amministratore rimosso con successo!
Sub Admin Removed Successfully!,Sub amministratore rimosso con successo!
DID Added Successfully.,Aggiunto con successo.
DID Already Removed Before.,DID Già rimosso prima.
Account Tax Added Successfully!,Imposta sull'account aggiunta con successo!
Account Tax Removed Successfully!,Tasse sull'account rimosse con successo!
Product Removed Sucessfully.,Prodotto rimosso con successo.
Email Resend Successfully!,Invia di nuovo l'e-mail con successo!
Email List Updated Successfully!,Elenco e-mail aggiornato con successo!
Email List Added Successfully!,Elenco e-mail aggiunto con successo!
Email Removed Successfully!,Email rimossa con successo!
Please Try Again!,Per favore riprova!
Email BroadCast Successfully!,Email BroadCast con successo!
No Record Found!,Nessun record trovato!
Email Address Not Found!,Indirizzo e-mail non trovato!
Edit Freeswitch SIP Devices,Modifica dispositivi SIP Freeswitch
Create Freeswitch SIP Devices,Crea dispositivi SIP Freeswitch
Gateway Updated Successfully!,Gateway aggiornato con successo!
Gateways already exist in system.,I gateway esistono già nel sistema.
Gateway name must not have any space.,Il nome del gateway non deve contenere spazi.
Gateway Added Successfully!,Gateway aggiunto con successo!
Gateway Removed Successfully!,Gateway rimosso con successo!
Please enter All profile value!,Inserisci tutto il valore del profilo!
SIP Profile name must not have any space!,Il nome del profilo SIP non deve contenere spazi!
Duplicate SIP IP OR Port found it must be unique!,È stato rilevato che la porta IP SIP duplicata deve essere univoca!
SIP Profile Added Successfully!,Profilo SIP aggiunto con successo!
Name must be unique!,Il nome deve essere univoco!
SIP Profile Updated Successfully!,Profilo SIP aggiornato con successo!
SIP Setting Added Successfully!,Impostazione SIP aggiunta con successo!
SIP Setting Updated Successfully!,Impostazione SIP aggiornata con successo!
SIP Setting Removed Successfully!,Impostazione SIP rimossa con successo!
SIP Profile Removed Successfully!,Profilo SIP rimosso con successo!
Host Already Exist in System.,L'host esiste già nel sistema.
Freeswitch Server Updated Successfully!,Server Freeswitch aggiornato con successo!
Freeswitch Server Added Successfully!,Server Freeswitch aggiunto con successo!
Freeswitch Server Removed Successfully!,Server Freeswitch rimosso con successo!
Invoice updated successfully!,Fattura aggiornata con successo!
Invoice payment done successfully!,Pagamento della fattura effettuato con successo!
Account Not Found.,Account non trovato.
Invoice payment amount should be higher then the invoice amount.,L'importo del pagamento della fattura deve essere superiore all'importo della fattura.
The Favicon file size shoud not exceed 1MB!,La dimensione del file Favicon non deve superare 1 MB!
Please upload 250 * 60 size file,Carica un file di dimensioni 250 * 60
Logo only allows file types of JPG and JPEG.,Il logo consente solo i tipi di file JPG e JPEG.
Favicon only allows file types of ICO,Favicon consente solo i tipi di file di ICO
Please upload 16 * 16 size of favicon.,Carica la dimensione 16 * 16 della favicon.
Company profile updated sucessfully!,Profilo aziendale aggiornato con successo!
Company profile added sucessfully!,Profilo aziendale aggiunto con successo!
Permission Denied.,Permesso negato.
is Deleted Sucessfully!,è stato eliminato con successo!
To date should not be greater than current date.,Ad oggi non deve essere maggiore della data corrente.
Invoice generation completed.,Generazione della fattura completata.
No data found,Nessun dato trovato
Invoices removed successfully,Fatture rimosse con successo
The Prefix field must contain a unique value.,Il campo Prefisso deve contenere un valore univoco.
The IP field must contain a unique value.,Il campo IP deve contenere un valore univoco.
IP Map added successfully!,Mappa IP aggiunta con successo!
IP Map removed successfully!,Mappa IP rimossa con successo!
Localization Added Successfully!,Localizzazione aggiunta con successo!
Localization Updated Successfully!,Localizzazione aggiornata con successo!
Localization Removed Successfully!,Localizzazione rimossa con successo!
Globalization is already exist in this system,La globalizzazione esiste già in questo sistema
Dispatcher Updated Successfully!,Dispatcher aggiornato con successo!
Dispatcher Added Successfully!,Dispatcher aggiunto con successo!
Dispatcher Removed Successfully!,Dispatcher rimosso con successo!
Code is already in system,Il codice è già nel sistema
Country is already in system,Il paese è già nel sistema
Ratedeck updated successfully!,Ratedeck aggiornato con successo!
Ratedeck added successfully!,Ratedeck aggiunto con successo!
Ratedeck removed successfully!,Ratedeck rimosso con successo!
Duplicate Ratedeck Number found from import file.,Numero di Ratedeck duplicato trovato dal file di importazione.
Ratedeck Imported Successfully!,Ratedeck importato con successo!
Ratedeck Import Error,Errore di importazione di Ratedeck
Back to Ratedeck List,Torna a Ratedeck List
Origination Rate Imported Successfully!,Tasso di origine importato con successo!
Origination Rate Updated Successfully!,Velocità di creazione aggiornata con successo!
Origination Rate Added Successfully!,Velocità di creazione aggiunta con successo!
Termination Rates Batch Updated Successfully!,Batch tariffe di terminazione aggiornate con successo!
Map CSV to Termination Rates,Mappa CSV per le tariffe di terminazione
Data Example,Esempio di dati
Map to Field,Mappa su campo
PREFIX/DEFAULT VALUE,PREFISSO / VALORE DI DEFAULT
ASTPP Field,Campo ASTPP
Created,Creato
Modified,Modificati
You can not create,Non puoi creare
Refill coupon with,Ricarica il coupon con
You can create maximum,Puoi creare il massimo
Refill coupon created successfully!,Ricarica coupon creato con successo!
Currency Added Successfully!,Valuta aggiunta con successo!
Currency Removed Successfully!,Valuta rimossa con successo!
Backup Exported Successfully!,Backup esportato con successo!
An error occur when the system tried to backup of the database. Please check yours system settings for the backup section,Si è verificato un errore quando il sistema ha tentato di eseguire il backup del database. Si prega di controllare le impostazioni di sistema per la sezione di backup
Database Restore successfully.,Ripristino del database con successo.
File not exists!,Il file non esiste!
There is a some issue or invalid file format.,C'è un problema o un formato di file non valido.
Database backup deleted successfully.,Backup del database eliminato correttamente.
Languages updated successfully!,Lingue aggiornate con successo!
Languages removed successfully!,Lingue rimosse con successo!
Languages added successfully!,Lingue aggiunte con successo!
Translation updated successfully!,Traduzione aggiornata con successo!
Translation added successfully!,Traduzione aggiunta con successo!
Update Languages,Aggiorna lingue
Speed Dial,Chiamata rapida
Payment,Pagamento
Method,Metodo
Once you confirm the invoice,Dopo aver confermato la fattura
Payment Gateway Permission,Autorizzazione del gateway di pagamento
Zip Code,Cap
Yes,sì
Back,Indietro
Edit Reseller,Modifica rivenditore
Asignar DID a granel,Asignar ha fatto un granel
DIDs Search,Ricerca DID
By Month,Per mese
Create Gateway,Crea gateway
Calling Card Language,Calling Card Language
Last,Scorso
Pay Date,Data di pagamento
Purchase DID,Acquista DID
Caller-ID-A-Form,Caller-ID-A-Form
Expire Seconds,Scadenza secondi
Termination Date,Data di cessazione
Registration Date,Data di registrazione
Payment By,Pagamento da
Product Status,Stato del prodotto
Minute,Minuto
Hour,Ora
Day,Giorno
Month,Mese
Year,Anno
List,Elenco
Edit,modificare
Not Avaialable any Subscription.,Non disponibile alcun abbonamento.
Not Avaialable any Package for this Country.,Non disponibile nessun pacchetto per questo paese.
You can only transfer fund in same level account.,Puoi trasferire fondi solo nello stesso livello di account.
You can not transfer fund in same account.,Non è possibile trasferire fondi nello stesso account.
Monthly Fee,Tariffa mensile
Bulk DID Assign,Bulk DID Assign
Invoice Start From,Fattura inizia da
Edit Gateway,Modifica gateway
Number Of Default Rows,Numero di righe predefinite
Mobile Dialer,Dialer mobile
Trunk Count,Conteggio del tronco
Welcome File,File di benvenuto
Local Call Timeout (Sec.),Timeout chiamata locale (sec.)
Rate check for DID,Controllo della tariffa per DID
DID Localization,Localizzazione DID
Voicemail Number,Numero messaggio vocale
OTP Expire Time(min),Tempo di scadenza OTP (min)
Edit Provider,Modifica fornitore
Product Summary Reports,Rapporti di riepilogo del prodotto
Edit Origination Rate,Modifica velocità di origine
Dialplan Variable,Variabile dialplan
Uninstall,Disinstalla
Call Stat,Chiama Stat
Failed Calls,Chiamate non riuscite
Top 10 Countries,Top 10 Paesi
By Minutes,A pochi minuti
By Calls,Per chiamate
Telephone number is only numeric,Il numero di telefono è solo numerico
Please enter valid Captcha code,Inserisci un codice Captcha valido
Please contact to administrator,Si prega di contattare l'amministratore
Requested email is already exist,L'email richiesta è già esistente
Requested number is already exist,Il numero richiesto esiste già
Please enter correct words!,Inserisci le parole corrette!
THIS IS REQUIRED!,QUESTO È RICHIESTO!
Your account has been deleted. Please contact administrator for more information.,Il tuo account è stato cancellato. Si prega di contattare l'amministratore per ulteriori informazioni.
Your account is inactive. Please contact administrator for more information.,Il tuo account è inattivo. Si prega di contattare l'amministratore per ulteriori informazioni.
Please enter proper Email.,Si prega di inserire l'email corretta.
Please enter proper Username.,Inserisci il nome utente corretto.
This Username or Email is not valid.,Questo nome utente o e-mail non è valido.
ASTPP - A Smart TelePhony Platform,ASTPP - Una piattaforma di telefonia intelligente
Forgot Password,Ha dimenticato la password
ASTPP work best with JavaScript enabled,ASTPP funziona meglio con JavaScript abilitato
Enter Your Password,Inserisci la tua password
Confirm Password,conferma password
The Email field is Required,Il campo Email è obbligatorio
The Account Number field is Required,Il campo Numero di conto è obbligatorio
Set Default Language,Imposta lingua predefinita
Please Re-login to get Impact of selected language.,Effettua nuovamente l'accesso per ottenere l'impatto della lingua selezionata.
Default Language,Lingua di default
Signup now!,Iscriviti ora!
Forgot Password?,Ha dimenticato la password?
Sign in,registrati
Username OR Email,Nome utente o email
Username is Required,È richiesto il nome utente
Password is Required,E 'richiesta la password
Please Check Your account is deleted or inactive from admin side,Verifica che il tuo account sia stato eliminato o inattivo dal lato amministratore
Please do not use default or less secure password for your account!! You must change password from,Si prega di non utilizzare una password predefinita o meno sicura per il tuo account !! È necessario modificare la password da
HERE,QUI
Login unsuccessful. Please make sure you entered the correct username and password,Accesso non riuscito. Assicurati di aver inserito il nome utente e la password corretti
Please enter Username/email and Password.,Si prega di inserire nome utente / e-mail e password.
Payment transaction invalid. Please contact Administrator.,Transazione di pagamento non valida. Si prega di contattare l'amministratore.
Log In,Accesso
Please Enter Password,"Per favore, inserisci la password"
Password must be at least 8 characters and must contain at least one lower case letter,La password deve contenere almeno 8 caratteri e deve contenere almeno una lettera minuscola
Please Enter Confirm Password,Immettere Conferma password
Confirm Password is not match,Conferma che la password non corrisponde
We sent update password link.,Abbiamo inviato il collegamento della password di aggiornamento.
Please check your Email!,Si prega di controllare la tua email!
Login,Accesso
OTP Verification,Verifica OTP
OTP Number is Required,Il numero OTP è obbligatorio
Your account created successfully and account details sent to your registered email address,Il tuo account è stato creato correttamente e i dettagli dell'account inviati al tuo indirizzo email registrato
Your password change successfully and new password sent to your registered email address,La tua password è stata modificata correttamente e la nuova password inviata al tuo indirizzo email registrato
OTP Number is Wrong Please try again Or OTP expire Please Resend,Il numero OTP è errato Per favore riprova O OTP scade Per favore invia di nuovo
OTP has been sent on your email or Telephone number,OTP è stato inviato sulla tua email o numero di telefono
OTP,OTP
Resend OTP,Invia di nuovo OTP
OTP Sent time Out,Timeout invio OTP
Not Get OTP ?,Non ottieni OTP?
Note:,Nota:
Please make sure do not refresh the page or don't go back,Assicurati di non aggiornare la pagina o di non tornare indietro
Login unsuccessful. Please make sure you entered the correct username and password,Accesso non riuscito. Assicurati di aver inserito il nome utente e la password corretti
Your account has been created successfully!,Il tuo account è stato creato con successo!
Here is your login information,Ecco le tue informazioni di accesso
Link is Expire Please Try Again,"Il collegamento scade, per favore riprova"
Sorry,scusate
Please contact administrator for more information,Si prega di contattare l'amministratore per ulteriori informazioni
Successful!,Riuscito!
Captcha is required,Captcha è obbligatorio
First Name is Required,Il nome è obbligatorio
Telephone is Required,Il telefono è richiesto
Email is Required,L'email è obbligatoria
Please enter a valid email address,Si prega di inserire un indirizzo email valido
Please make sure you entered the correct username and password,Assicurati di aver inserito il nome utente e la password corretti
Company Name,Nome della ditta
Enter above Captcha,Inserisci sopra Captcha
Sign up,Iscriviti
Already Registered !,Già registrato !
January,gennaio
February,febbraio
March,marzo
April,aprile
May,Maggio
June,giugno
July,luglio
August,agosto
September,settembre
October,ottobre
November,novembre
December,dicembre
Doesn't Contain,Non contiene
Greater Than,Più grande di
Less Than,Meno di
Greater Or Equal Than,Maggiore o uguale a
Less Or Equal Than,Minore o uguale a
Set To,Impostato
Increase By,Aumenta di
Decrease By,Diminuisci di
Community,Comunità
You must either select a field from your file OR provide a default value for the following fields:,Devi selezionare un campo dal tuo file OPPURE fornire un valore predefinito per i seguenti campi:
Note : Records with duplicate account number and email will be ignored.,Nota: i record con numero di conto ed e-mail duplicati verranno ignorati.
Map CSV to Customers,Mappa CSV per i clienti
Account Information,Informazioni account
Select Account,Seleziona Account
DEFAULT VALUE,VALORE PREDEFINITO
SIP Username,Nome utente SIP
sip_username,sip_username
SIP Password,Password SIP
Same as Password,Uguale alla password
Same as Account Number,Uguale al numero di conto
Random,Casuale
Import File Data.,Importa dati file.
Process Records,Record di processo
Note : Duplicate accounts with account number / email are ignored.,Nota: gli account duplicati con numero di conto / indirizzo e-mail vengono ignorati.
Remove,Rimuovere
Number of Account,Numero di account
Account Number Length,Lunghezza del numero di conto
DID (CLI Match,DID (CLI Match
Caller Id (CLI Match,ID chiamante (CLI Match
Use NON-CLI Rate Group (If CLI not match with DID),Utilizza gruppo di tariffe NON CLI (se CLI non corrisponde a DID)
Use NON-CLI Rate Group (If CLI not match with Caller ID),Usa gruppo di tariffe NON CLI (se CLI non corrisponde all'ID chiamante)
Use NON-CLI Rate Group (If CLI not match with DID & Caller id),Utilizza gruppo di tariffe NON CLI (se CLI non corrisponde a DID e ID chiamante)
Reject Call (If CLI not match with DID),Rifiuta chiamata (se CLI non corrisponde a DID)
Reject Call (If CLI not match with Caller ID),Rifiuta chiamata (se CLI non corrisponde all'ID chiamante)
Reject Call (If CLI not match with DID & Caller id),Rifiuta chiamata (se CLI non corrisponde a DID e ID chiamante)
--Select--,--Selezionare--
Test Mail,Posta di prova
Reset Password,Resetta la password
AFGHANISTAN,AFGHANISTAN
ALBANIA,ALBANIA
ALGERIA,ALGERIA
AMERICAN SAMOA,SAMOA AMERICANE
ANDORRA,ANDORRA
ANGOLA,ANGOLA
ANGUILLA,ANGUILLA
ANTIGUA & BARBUDA,ANTIGUA E BARBUDA
ARGENTINA,ARGENTINA
ARMENIA,ARMENIA
ARUBA,ARUBA
AUSTRALIA,AUSTRALIA
AUSTRIA,AUSTRIA
AZERBAIJAN,AZERBAIGIAN
BAHAMAS,BAHAMAS
BAHRAIN,BAHRAIN
BANGLADESH,BANGLADESH
BARBADOS,BARBADOS
BELARUS,BIELORUSSIA
BELGIUM,BELGIO
BELIZE,BELIZE
BENIN,BENIN
BERMUDA,BERMUDA
BHUTAN,BHUTAN
BOLIVIA,BOLIVIA
BOSNIA AND HERZEGOVINA,BOSNIA ERZEGOVINA
BOTSWANA,BOTSWANA
BRAZIL,BRASILE
BRITISH VIRGIN ISLANDS,ISOLE VERGINI BRITANNICHE
BRUNEI,BRUNEI
BULGARIA,BULGARIA
BURKINA FASO,BURKINA FASO
BURUNDI,BURUNDI
CAMBODIA,CAMBOGIA
CAMEROON,CAMERUN
CANADA,CANADA
CAPE VERDE,CAPO VERDE
CAYMAN ISLANDS,ISOLE CAYMAN
CENTRAL AFRICAN REPUBLIC,REPUBBLICA CENTRALE AFRICANA
CHAD,CHAD
CHILE,CHILE
CHINA,CINA
COLOMBIA,COLOMBIA
COMOROS,COMORE
CONGO,CONGO
COSTA RICA,COSTA RICA
CROATIA,CROAZIA
CUBA,CUBA
CYPRUS,CIPRO
CZECH REPUBLIC,REPUBBLICA CECA
DEMOCRATIC REPUBLIC,REPUBBLICA DEMOCRATICA
DENMARK,DANIMARCA
DJIBOUTI,GIBUTI
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,REPUBBLICA DOMINICANA
ECUADOR,ECUADOR
EGYPT,EGITTO
EL SALVADOR,EL SALVADOR
EQUATORIAL GUINEA,GUINEA EQUATORIALE
ERITREA,ERITREA
ERITREA,ERITREA
ETHIOPIA,ETIOPIA
FAEROE ISLANDS,ISOLE FAEROE
FIJI ISLANDS,ISOLE FIJI
FINLAND,FINLANDIA
FRANCE,FRANCIA
FRENCH GUIANA,GUIANA FRANCESE
FRENCH POLYNESIA,POLINESIA FRANCESE
GABON,GABON
GAMBIA,GAMBIA
GEORGIA,GEORGIA
GERMANY,GERMANIA
GHANA,GHANA
GIBRALTAR,GIBILTERRA
GREECE,GRECIA
GRENADA,GRENADA
GUADELOUPE,GUADALUPA
GUAM,GUAM
GUATEMALA,GUATEMALA
GUINEA,GUINEA
GUINEA BISSAU,GUINEA BISSAU
GUYANA,GUYANA
HAITI,HAITI
HONDURAS,HONDURAS
HONG KONG,HONG KONG
HUNGARY,UNGHERIA
ICELAND,ISLANDA
INDIA,INDIA
INDONESIA,INDONESIA
IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRLANDA
ISRAEL,ISRAELE
ITALY,ITALIA
IVORY COAST,COSTA D'AVORIO
JAMAICA,GIAMAICA
JAPAN,GIAPPONE
JORDAN,GIORDANIA
KAZAKHSTAN,KAZAKISTAN
KENYA,KENYA
KOSOVO,KOSOVO
KUWAIT,KUWAIT
KYRGYZSTAN,KYRGYZSTAN
LAOS,LAOS
LATVIA,LETTONIA
LEBANON,LIBANO
LESOTHO,LESOTHO
LIBERIA,LIBERIA
LIBYA,LIBIA
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,LITUANIA
LUXEMBOURG,LUSSEMBURGO
MACAU,MACAO
MACEDONIA,MACEDONIA
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALAYSIA
MALI,MALI
MALTA,MALTA
MARSHALL ISLANDS,ISOLE MARSHALL
MARTINIQUE,MARTINICA
MAURITANIA,MAURITANIA
MAURITIUS,MAURITIUS
MEXICO,MESSICO
MICRONESIA,MICRONESIA
MOLDOVA,MOLDOVA
MONACO,MONACO
MONGOLIA,MONGOLIA
MONTENEGRO,MONTENEGRO
MONTSERRAT,MONTSERRAT
MOROCCO,MAROCCO
MOZAMBIQUE,MOZAMBICO
MYANMAR,MYANMAR
NAMIBIA,NAMIBIA
NEPAL,NEPAL
NETHERLANDS,OLANDA
NEW CALEDONIA,NUOVA CALEDONIA
NEW ZEALAND,NUOVA ZELANDA
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NO. MARIANA ISLANDS,NO. ISOLE MARIANA
NORTH KOREA,COREA DEL NORD
NORWAY,NORVEGIA
OMAN,OMAN
PAKISTAN,PAKISTAN
PALAU,PALAU
PANAMA,PANAMA
PARAGUAY,PARAGUAY
PERU,PERÙ
PHILIPPINES,FILIPPINE
POLAND,POLONIA
PORTUGAL,PORTOGALLO
PUERTO RICO,PUERTO RICO
QATAR,QATAR
REUNION ISLAND,ISOLA DELLA REUNIONE
ROMANIA,ROMANIA
RUSSIAN FEDERATION,FEDERAZIONE RUSSA
RWANDA,RUANDA
SAN MARINO,SAN MARINO
SAUDI ARABIA,ARABIA SAUDITA
SENEGAL,SENEGAL
SERBIA,SERBIA
SEYCHELLES ISLANDS,ISOLE SEYCHELLES
SIERRA LEONE,SIERRA LEONE
SINGAPORE,SINGAPORE
SLOVAKIA,SLOVACCHIA
SLOVENIA,SLOVENIA
SOMALIA,SOMALIA
SOUTH AFRICA,SUD AFRICA
SOUTH KOREA,COREA DEL SUD
SOUTH SUDAN,SUDAN DEL SUD
SPAIN,SPAGNA
SRI LANKA,SRI LANKA
ST. KITTS,ST. GITTI
ST. LUCIA,ST. LUCIA
ST. MARTIN,ST. MARTIN
ST. PIERRE & MIQUELON,ST. PIERRE & MIQUELON
ST. VINCENT,ST. VINCENT
SUDAN,SUDAN
SURINAME,SURINAME
SWAZILAND,SWAZILAND
SWEDEN,SVEZIA
SWITZERLAND,SVIZZERA
SYRIA,SIRIA
TAIWAN,TAIWAN
TAJIKISTAN,TAGIKISTAN
TANZANIA,TANZANIA
THAILAND,TAILANDIA
TRINIDAD & TOBAGO,TRINIDAD & TOBAGO
TUNISIA,TUNISIA
TURKEY,TACCHINO
TURKMENISTAN,TURKMENISTAN
TURKS & CAICOS ISLANDS,ISOLE TURKS E CAICOS
UGANDA,UGANDA
UKRAINE,UCRAINA
UNITED ARAB EMIRATES,EMIRATI ARABI UNITI
UNITED KINGDOM,REGNO UNITO
URUGUAY,URUGUAY
US VIRGIN ISLANDS,ISOLE VERGINI USA
United States,stati Uniti
UZBEKISTAN,UZBEKISTAN
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
YEMEN,YEMEN
ZAMBIA,ZAMBIA
ZIMBABWE,ZIMBABWE
ASCENSION,ASCENSIONE
COOK ISLANDS,ISOLE COOK
EAST TIMOR,TIMOR EST
FALKLAND ISLANDS,ISOLE FALKLAND
GREENLAND,GROENLANDIA
KIRIBATI,KIRIBATI
MALDIVES,MALDIVE
NAURU,NAURU
Albanian Lek,Lek albanese
Algerian Dinar,Dinaro algerino
Aluminium Ounces,Once di alluminio
Argentine Peso,Peso argentino
Aruba Florin,Aruba Florin
Australian Dollar,Dollaro australiano
Bahamian Dollar,Dollaro delle Bahamas
Bahraini Dinar,Dinaro del Bahrein
Bangladesh Taka,Bangladesh Taka
Barbados Dollar,Dollaro delle Barbados
Belarus Ruble,Rublo bielorusso
Belize Dollar,Dollaro del Belize
Bermuda Dollar,Dollaro delle Bermuda
Bhutan Ngultrum,Bhutan Ngultrum
Bolivian Boliviano,Boliviano boliviano
Brazilian Real,Real brasiliano
British Pound,Sterlina Inglese
Brunei Dollar,Dollaro del Brunei
Bulgarian Lev,Lev bulgaro
Burundi Franc,Franco del Burundi
Cambodia Riel,Cambogia Riel
Canadian Dollar,Dollaro canadese
Cayman Islands Dollar,Dollaro delle Isole Cayman
CFA Franc (BCEAO),Franco CFA (BCEAO)
CFA Franc (BEAC),Franco CFA (BEAC)
Chilean Peso,Peso cileno
Chinese Yuan,Yuan cinese
Colombian Peso,Peso colombiano
Comoros Franc,Franco delle Comore
Copper Ounces,Once di rame
Costa Rica Colon,Costa Rica Colon
Croatian Kuna,Kuna croata
Cuban Peso,Peso cubano
Cyprus Pound,Sterlina cipriota
Czech Koruna,Corona ceca
Danish Krone,Corona danese
Dijibouti Franc,Dijibouti Franc
Dominican Peso,Peso dominicano
East Caribbean Dollar,Dollaro caraibico orientale
Ecuador Sucre,Ecuador Sucre
Egyptian Pound,Sterlina egiziana
El Salvador Colon,El Salvador Colon
Eritrea Nakfa,Eritrea Nakfa
Estonian Kroon,Corona estone
Ethiopian Birr,Birr etiope
Euro,Euro
Falkland Islands Pound,Sterlina delle Isole Falkland
Gambian Dalasi,Dalasi del Gambia
Ghanian Cedi,Ghanian Cedi
Gibraltar Pound,Sterlina di Gibilterra
Gold Ounces,Once d'oro
Guatemala Quetzal,Guatemala Quetzal
Guinea Franc,Franco della Guinea
Haiti Gourde,Haiti Gourde
Honduras Lempira,Honduras Lempira
Hong Kong Dollar,Dollaro di Hong Kong
Hungarian ForINT,Fiorino ungherese
Iceland Krona,Islanda Krona
Indian Rupee,Rupia indiana
Indonesian Rupiah,Rupia indonesiana
Iran Rial,Iran Rial
Israeli Shekel,Shekel israeliano
Jamaican Dollar,Dollaro giamaicano
Japanese Yen,Yen Giapponese
Jordanian Dinar,Dinaro giordano
Kazakhstan Tenge,Kazakistan Tenge
Kenyan Shilling,Scellino keniota
Korean Won,Won coreano
Kuwaiti Dinar,Dinaro kuwaitiano
Lao Kip,Lao Kip
Latvian Lat,Lettone Lat
Lebanese Pound,Sterlina libanese
Lesotho Loti,Lesotho Loti
Libyan Dinar,Dinaro libico
Lithuanian Lita,Lita lituana
Macau Pataca,Pataca di Macao
Macedonian Denar,Denar macedone
Malagasy Franc,Franco malgascio
Malawi Kwacha,Malawi Kwacha
Malaysian Ringgit,Ringgit malese
Maldives Rufiyaa,Maldive Rufiyaa
Maltese Lira,Lira maltese
Mauritania Ougulya,Mauritania Ougulya
Mauritius Rupee,Rupia delle Mauritius
Mexican Peso,Peso messicano
Moldovan Leu,Leu moldavo
Mongolian Tugrik,Tugrik mongolo
Moroccan Dirham,Dirham marocchino
Mozambique Metical,Mozambico Metical
Namibian Dollar,Dollaro namibiano
Nepalese Rupee,Rupia nepalese
Neth Antilles Guilder,Fiorino delle Antille Olandesi
New Turkish Lira,Nuova lira turca
New Zealand Dollar,Dollaro neozelandese
Nicaragua Cordoba,Nicaragua Cordoba
Nigerian Naira,Naira nigeriana
Norwegian Krone,Corona norvegese
Omani Rial,Rial dell'Oman
Pacific Franc,Franco del Pacifico
Pakistani Rupee,Rupia pakistana
Palladium Ounces,Once di palladio
Panama Balboa,Panama Balboa
Papua New Guinea Kina,Papua Nuova Guinea Kina
Paraguayan Guarani,Guarani paraguaiano
Peruvian Nuevo Sol,Peruviano Nuevo Sol
Philippine Peso,Peso filippino
Platinum Ounces,Once di platino
Polish Zloty,Zloty polacco
Qatar Rial,Qatar Rial
Romanian Leu,Leu rumeno
Romanian New Leu,Rumeno Nuovo Leu
Russian Rouble,Rublo russo
Rwanda Franc,Franco ruandese
Samoa Tala,Samoa Tala
Sao Tome Dobra,Sao Tome Dobra
Saudi Arabian Riyal,Riyal dell'Arabia Saudita
Seychelles Rupee,Rupia delle Seychelles
Sierra Leone Leone,Sierra Leone Leone
Silver Ounces,Once d'argento
Singapore Dollar,Dollaro di Singapore
Slovak Koruna,Corona slovacca
Slovenian Tolar,Tolar sloveno
Somali Shilling,Scellino somalo
South African Rand,Rand sudafricano
Sri Lanka Rupee,Rupia dello Sri Lanka
St Helena Pound,St Helena Pound
Sudanese Dinar,Dinaro sudanese
Surinam Guilder,Fiorino del Suriname
Swaziland Lilageni,Swaziland Lilageni
